,id,name,address,address2,city,state,zip,phone,latitude,longitude,status,open_date,url,distance
0,122,Kendall,8888 SW 136th St,Suite 422,Miami,FL,33176,305-417-9200,25.64232390,-80.33575860,1,2023-02-08,/locations/fl/kendall/,49.08554901686459
1,45,Miami - Coral Gables,263 Miracle Mile,,Coral Gables,FL,33134,305-787-3610,25.74978420,-80.26006440,1,2019-03-04,/locations/fl/miami-coral-gables/,54.29001758672045
2,71,Miami - South Beach,1220 17th St,Suite 106,Miami Beach,FL,33139,305-367-8400,25.79189100,-80.14180000,1,2021-11-17,/locations/fl/miami-south-beach/,55.426205110075855
3,236,Miami - Doral,3737 NW 87th Ave,Suite 106,Doral,FL,33178,305-771-8201,25.80849570,-80.33666350,4,2026-06-25,/locations/fl/miami-doral/,59.68326719829768
4,190,Aventura,2747 NE 193rd Street,Unit 12,Aventura,FL,33180,305-359-8093,25.95390240,-80.14907640,1,2025-08-28,/locations/fl/aventura/,66.5617108698016
5,130,Pembroke Pines,14541 SW 5th St.,,Pembroke Pines,FL,33027,954-510-5500,26.00432300,-80.33604140,1,2023-08-30,/locations/fl/pembroke-pines/,72.48796783519582
6,54,Fort Lauderdale,2406 N Federal Hwy,,Fort Lauderdale,FL,32819,954-860-8687,26.12243860,-80.13731740,1,2019-10-01,/locations/fl/fort-lauderdale/,78.02473976126866
7,200,Palm Beach,11701 Lake Victoria Gardens Ave,Suite 3108,Palm Beach Gardens,FL,33410,561-786-1260,26.84969390,-80.09290680,1,2025-09-10,/locations/fl/palm-beach/,127.93324027281805
8,223,San Antonio - Quarry Village,310 E Basse Rd,Suite 105,San Antonio,TX,78209,210-293-4550,29.49588190,-98.47771810,1,2026-01-09,/locations/tx/san-antonio-quarry-village/,107.33112020461687
9,164,San Antonio - Alamo Ranch,5535 W Loop 1604 N,#107,San Antonio,TX,78253,210-879-1900,29.49202760,-98.70822440,1,2024-02-07,/locations/tx/san-antonio-alamo-ranch/,111.66071583436342
10,76,San Antonio - La Cantera,15900 La Cantera Parkway,Suite 6680,San Antonio,TX,78256,210-526-4000,29.59156280,-98.61471600,1,2021-08-18,/locations/tx/san-antonio-la-cantera/,116.0952537277152
11,105,Friendswood,700 Baybrook Mall,C117,Friendswood,TX,77546,281-944-7000,29.54489220,-95.14931550,1,2022-10-26,/locations/tx/friendswood/,107.12525636934232
12,216,Houston - Pearland,11200 Broadway St,Suite 760,Pearland,TX,77584,281-710-0080,29.55293880,-95.39227820,1,2025-09-09,/locations/tx/houston-pearland/,109.89711792403995
13,43,Sugar Land,16535 Southwest Fwy,Suite 1008,Sugar Land,TX,77479,832-432-8400,29.59121780,-95.62683840,1,2018-12-01,/locations/tx/sugar-land/,116.31011944170092
14,32,Houston,5385 Westheimer Rd,,Houston,TX,77056,346-800-4445,29.73845690,-95.46977390,1,2017-04-01,/locations/tx/houston-galleria/,123.43406034586154
15,140,Houston - Houston Heights,246 W 19th St,,Houston,TX,77008,713-682-9080,29.80261960,-95.40093940,1,2023-09-27,/locations/tx/houston-heights/,126.88922126646742
16,241,Katy,2643 Commercial Center Blvd,Suite B360,Katy,TX,77494,281-993-7770,29.74118910,-95.77405380,4,2026-06-24,/locations/tx/katy/,129.09966474941916
